cer	t͡ʃ e r
plictisită	p l i k t i s i t ə
monogamie	m o n o ɡ a m i e
smârc	s m ɨ r k
formele	f o r m e l e
îmbunătățire	ɨ m b u n ə t ə t͡s i r e
șantajase	ʃ a n t a ʒ a s e
veștejite	v e ʃ t e ʒ i t e
sodomizase	s o d o m i z a s e
cenzuraseră	t͡ʃ e n z u r a s e r ə
gât	ɡ ɨ t
torturau	t o r t u r a w
dace	d a t͡ʃ e
distracție	d i s t r a k t͡s i e
sângeraseră	s ɨ n d͡ʒ e r a s e r ə
misterioasei	m i s t e r i o̯ a s e j
călătorim	k ə l ə t o r i m
torturat	t o r t u r a t
plictisind	p l i k t i s i n d
baie	b a j e
ejaculezi	e ʒ a k u l e zʲ
misterioșilor	m i s t e r i o ʃ i l o r
spectral	s p e k t r a l
sprânceană	s p r ɨ n t ʃ j æ n ə
deliră	d e l i r ə
instant	i n s t a n t
relativitate	r e l a t i v i t a t e
gravitat	ɡ r a v i t a t
asurzească	a s u r z j a s k ə
sugea	s u d͡ʒ e̯ a
stimulară	s t i m u l a r ə
exemple	e ɡ z e m p l e
frumoși	f r u m o ʃʲ
omniprezentei	o m n i p r e z e n t e j
formatelor	f o r m a t e l o r
limitau	l i m i t a w
văi	v ə j
dunărea	d u n ə r e̯ a
necăjisem	n e k ə ʒ i s e m
urșinic	u r ʃ i n i k
mort	m o r t
controlai	k o n t r o l a j
lua	l u a
important	i m p o r t a n t
biblioteca	b i b l i o t e k a
vom	v o m
antonim	a n t o n i m
uimitor	u j m i t o r
pregătiții	p r e ɡ ə t i t͡s iː
funicular	f u n i k u l a ʳ
perfectăm	p e r f e k t ə m
asurzește	a s u r z e ʃ t e
usturoi	u s t̪ u ɾ o j
perineu	p e r i n e w
faci	f a t͡ʃʲ
delira	d e l i r a
orientat	o r i e n t a t
anatemei	a n a t e m e j
muntenia	m u n t e n i a
promise	p r o m i s e
hotărî	h o t ə r ɨ
clădește	k l ə d e ʃ t e
secvențe	s e k v e n t͡s e
zăpuși	z ə p u ʃ i
controlează	k o n t r o l j a z ə
misterioșii	m i s t e r i o ʃ i j
păltineni	p ɘ l t i n ɛ nʲ
lup	l u p
lipsită	l i p s i t ə
creasem	k r e a s e m
bloca	b l o k a
dușmănit	d u ʃ m ə n i t
lucrul	l u k r u l
pilotez	p i l o t a e z
întărea	ɨ n t ə r j a
reginele	r e d͡ʒ i n e l e
numiserăți	n u m i s e r ə t sʲ
scrie	s k r i e
felațiilor	f e l a t s iː l o r
plictisiseră	p l i k t i s i s e r ə
haotic	h a o t i k
vorbea	v o r bʲ æ
văd	v ə d
șantajele	ʃ a n t a ʒ e l e
rozmarin	r o z m a r i n
dușmănească	d u ʃ m ə n j a s k ə
pregătit	p r e ɡ ə t i t
