あば	a̠ b a̠
あぶ	a̠ b ɯ̟ᵝ
あび	a̠ bʲ i
あだ	a̠ d a̠
あい	a̠ i
あや	a̠ j a̠
あゆ	a̠ j ɯ̟ᵝ
あく	a̠ k ɯ̟ᵝ
あき	a̠ kʲ i
あま	a̠ m a̠
あみ	a̠ mʲ i
あな	a̠ n a̠
あね	a̠ n e̞
あの	a̠ n o̞
あお	a̠ o̞
あさ	a̠ s a̠
あせ	a̠ s e̞
あて	a̠ t e̞
あつ	a̠ t͡s ɨᵝ
あざ	a̠ z a̠
あっ	a̠ ʔ
あれ	a̠ ɾ e̞
あじ	a̠ ʑ i
あご	a̠ ɡ o̞
あわ	a̠ ɰᵝ a̠
あり	a̠ ɾʲ i
あう	a̠ ɯ̟ᵝ
あん	ã̠ ɴ
ゔぁ	b a̠
ばば	b a̠ b a̠
ばび	b a̠ bʲ i
ばか	b a̠ k a̠
ばね	b a̠ n e̞
ばら	b a̠ ɾ a̠
ばぐ	b a̠ ɡ ɯ̟ᵝ
ばり	b a̠ ɾʲ i
ばん	b ã̠ ɴ
ゔぇ	b e̞
べつ	b e̞ t͡s ɨᵝ
べら	b e̞ ɾ a̠
べし	b e̞ ɕ i
ゔぉ	b o̞
ぼぼ	b o̞ b o̞
ぼや	b o̞ j a̠
ぼく	b o̞ k ɯ̟ᵝ
ぼち	b o̞ t͡ɕ i
ぼし	b o̞ ɕ i
ぼう	b o̞ː
ぼん	b õ̞ ɴ
ぶひ	b ɯ̟ᵝ ç i
ぶけ	b ɯ̟ᵝ k e̞
ぶな	b ɯ̟ᵝ n a̠
ぶす	b ɯ̟ᵝ s ɨᵝ
ぶつ	b ɯ̟ᵝ t͡s ɨᵝ
ぶじ	b ɯ̟ᵝ ʑ i
ぶぎ	b ɯ̟ᵝ ɡʲ i
ぶう	b ɯ̟ᵝː
ぶん	b ɯ̟̃ᵝ ɴ
びく	bʲ i k ɯ̟ᵝ
びき	bʲ i kʲ i
びら	bʲ i ɾ a̠
びわ	bʲ i ɰᵝ a̠
びん	bʲ ĩ ɴ
ひび	ç i bʲ i
ひだ	ç i d a̠
ひか	ç i k a̠
ひこ	ç i k o̞
ひき	ç i kʲ i
ひめ	ç i m e̞
ひな	ç i n a̠
ひつ	ç i t͡s ɨᵝ
ひざ	ç i z a̠
ひら	ç i ɾ a̠
ひし	ç i ɕ i
ひご	ç i ɡ o̞
ひふ	ç i ɸ ɯ̟ᵝ
ひる	ç i ɾ ɯ̟ᵝ
ひん	ç ĩ ɴ
だき	d a̠ kʲ i
だめ	d a̠ m e̞
だん	d ã̠ ɴ
でば	d e̞ b a̠
でぶ	d e̞ b ɯ̟ᵝ
でか	d e̞ k a̠
です	d e̞ s ɨ̥ᵝ
