ab	a b
abatir	a b a t ɪ r
abergofiant	a b ɛ r ɡ ɔ v j a n t
abertawe	a b ɛ r t a u̯ ɛ
aberthu	a b ɛ r θ i
ac	a k
ach	aː χ
achosaf	a χ oː s a v
achosi	a χ ɔ s i
actiaf	a k t j a v
acti	a k t i
actio	a k t j ɔ
acw	a k u
ad	aː d
adarydda	a d a r ə ð a
adawed	a d a u̯ ɛ d
addawa	a ð a u̯ a
addoldy	a ð ɔ l d i
addolgar	a ð ɔ l ɡ a r
addoliad	a ð ɔ l j a d
addurno	a ð ɪ r n ɔ
addysgu	a ð ə s ɡ i
adeilad	a d e i̯ l a d
adfer	a d v ɛ r
adferf	a d v ɛ r v
adio	a d j ɔ
adlaw	a d l a u̯
adnabyddi	a d n a b ə ð i
adnabyddus	a d n a b ə ð ɪ s
adnabyddwch	a d n a b ə ð ʊ χ
adolygu	a d ɔ l ə ɡ i
adran	a d r a n
adre	a d r ɛ
adrodd	a d r ɔ ð
adroddiad	a d r ɔ ð j a d
adwaen	a d w a i̯ n
adwaenai	a d w e i̯ n a i̯
adwaenant	a d w e i̯ n a n t
adwaenech	a d w e i̯ n ɛ χ
adwaenem	a d w e i̯ n ɛ m
adwaenent	a d w e i̯ n ɛ n t
adwaenir	a d w e i̯ n ɪ r
adwaenit	a d w e i̯ n ɪ t
adwaenom	a d w e i̯ n ɔ m
adwaenost	a d w e i̯ n ɔ s d
adwaenwch	a d w e i̯ n ʊ χ
adwaenwn	a d w e i̯ n ʊ n
adwaenynt	a d w e i̯ n ɪ n t
adweinaf	a d w e i̯ n a v
adweini	a d w e i̯ n i
adweinid	a d w e i̯ n ɪ d
adweinir	a d w e i̯ n ɪ r
adwen	a d w ɛ n
adwthio	a d ʊ θ j ɔ
aech	a i̯ χ
aed	a i̯ d
aeled	e i̯ l ɛ d
aelod	e i̯ l ɔ d
aelwyd	e i̯ l ʊ i̯ d
aem	a i̯ m
aent	a i̯ n t
aeron	e i̯ r ɔ n
aethai	e i̯ θ a i̯
aethant	e i̯ θ a n t
aethech	e i̯ θ ɛ χ
aethem	e i̯ θ ɛ m
aethid	e i̯ θ ɪ d
aethom	e i̯ θ ɔ m
aethost	e i̯ θ ɔ s d
aethpwyd	e i̯ θ p ʊ i̯ d
aethwn	e i̯ θ ʊ n
afallen	a v a ɬ ɛ n
af	aː v
affrica	a f r ɪ k a
aflwyddiannus	a v l ʊ i̯ ð j a n ɪ s
afonfarch	a v ɔ n v a r χ
agoriad	a ɡ ɔ r j a d
aidd	a i̯ ð
aifft	a i̯ f t
ail	a i̯ l
aillt	a i̯ ɬ d
ailosod	a i̯ l ɔ s ɔ d
air	a i̯ r
ais	a i̯ s
ait	a i̯ t
âl	aː l
alban	a l b a n
alla	a ɬ a
allan	a ɬ a n
allant	a ɬ a n t
allen	a ɬ ɛ n
aller	a ɬ ɛ r
allo	a ɬ ɔ
allor	a ɬ ɔ r
allt	a ɬ t
allwthio	a ɬ ʊ θ j ɔ
almaenwr	a l m e i̯ n ʊ r
almanac	a l m a n a k
alwminiwm	a l ʊ m ɪ n j ʊ m
am	a m
amcan	a m k a n
amddiffynnaf	a m ð ɪ f ə n a v
amgyffred	a m ɡ ə f r ɛ d
amgylchedd	a m ɡ ə l χ ɛ ð
amlwg	a m l ʊ ɡ
amnewid	a n n ɛ u̯ ɪ d
amobr	a m ɔ b r
amod	a m ɔ d
amrant	a m r a n t
amrantiad	a m r a n t j a d
amrwd	a m r ʊ d
amrywedd	a m r ɪ u̯ j ɛ ð
amrywio	a m r ɪ u̯ j ɔ
amrywiol	a m r ɪ u̯ j ɔ l
amser	a m s ɛ r
amwythig	a m ʊ i̯ θ ɪ ɡ
anabl	a n a b l
anabledd	a n a b l ɛ ð
anadlu	a n a d l i
ân	aː n
aneiriol	a n e i̯ r j ɔ l
anffurfiol	a n f ɪ r v j ɔ l
angen	a ŋ ɛ n
angheuol	a ŋ h e i̯ ɔ l
anghofio	a ŋ h ɔ v j ɔ
anghofrwydd	a ŋ h ɔ v r ʊ i̯ ð
anghofuster	a ŋ h ɔ v ɪ s d ɛ r
anghydfod	a ŋ h ə d v ɔ d
anghydradd	a ŋ h ə d r a ð
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b
anghyfartal	a ŋ h ə v a r t a l
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n
anghymreig	a ŋ h ə m r e i̯ ɡ
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ
anghywir	a ŋ h ə u̯ ɪ r
angladd	a ŋ l a ð
angof	a ŋ ɔ v
angyles	a ŋ ə l ɛ s
anner	a n ɛ r
annerbyniol	a n ɛ r b ə n j o l
annerch	a n ɛ r χ
annog	a n ɔ ɡ
annwyd	a n ʊ i̯ d
anrheg	a n r̥ ɛ ɡ
ansawdd	a n s a u̯ ð
ânt	aː n t
antimoni	a n t ɪ m ɔ n i
ap	a p
arbed	a r b ɛ d
archfarchnad	a r χ v a r χ n a d
arddaf	a r ð a v
arddwrn	a r ð ʊ r n
aren	aː r ɛ n
arestio	a r ɛ s t j ɔ
arfedd	a r v ɛ ð
arfer	a r v ɛ r
arglwydd	a r ɡ l ʊ i̯ ð
arholi	a r h ɔ l i
arhosaf	a r h ɔ s a v
ariannog	a r j a n ɔ ɡ
arllwys	a r ɬ ʊ i̯ s
armenia	a r m ɛ n j a
arna	a r n a
arnat	a r n a t
